"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
100,434.425170898437
105.260114526576,124.124229431152
110.796917101478,128.983627319336
116.624961832931,114.679321289062
122.759568391918,140.472442626953
129.216862281663,136.584335327148
136.013817225326,133.830490112305
143.168299783345,140.812240600586
150.6991163177,148.218124389648
158.626062426549,165.803924560547
166.969974979182,164.152450561523
175.752786888082,182.841278076172
184.997584762044,202.042694091797
194.728669591926,201.585525512695
204.971620628538,201.452026367187
215.753362620577,221.910690307617
227.102236589358,233.344863891602
239.048074326372,235.207611083984
251.622276809513,247.353302001953
264.857896744071,260.37060546875
278.789725445488,274.165100097656
293.454384292246,288.717834472656
308.890420989276,303.833831787109
325.138410894933,319.926910400391
342.241063677895,336.475646972656
360.243335584322,354.404541015625
379.192547610414,382.444152832031
399.138509890961,402.36572265625
420.133652630893,422.881256103516
442.233163923964,434.921417236328
465.495134820863,477.016082763672
489.980712028078,491.646881103516
515.754258638885,507.490875244141
542.883523318981,533.646118164062
571.439818391469,561.967590332031
601.498207289316,591.595642089844
633.137701868033,622.641906738281
666.44147009722,655.330871582031
701.497054676928,689.555358886719
738.396603153489,726.307434082031
777.237110139706,764.786865234375
818.120672276101,804.807250976562
861.154756603414,856.729675292969
906.452483051807,890.974060058594
954.132921789321,937.930969238281
1004.3214062112,987.227661132812
1057.14986239282,1039.76708984375
1112.75715587222,1093.73852539062
1171.28945667377,1152.11254882812
1232.90062353251,1212.76599121094
1297.75260832919,1276.63708496094
1366.01588179893,1342.63671875
1437.86988163276,1414.2734375
1513.50348414978,1487.7470703125
1593.11550077977,1568.09411621094
1676.91520066142,1659.31787109375
1765.12286072976,1774.37817382812
1857.97034473891,1874.94104003906
1955.70171274199,1923.18273925781
2058.57386263042,2046.1181640625
2166.85720541893,1708.2861328125
2280.83637605132,481.725830078125
2400.81098159542,2322.94995117187
2527.09638879394,2457.00244140625
2660.02455304146,568.40625
2799.94489096647,2732.93090820312
2947.22519891231,2878.58178710937
3102.25261973119,3030.28515625
3265.43466043275,469.32958984375
3437.200263362,3244.9736328125
3618.0009337226,978.783386230469
3808.31192640899,3678.62548828125
4008.63349526734,1488.92346191406
4219.49220806907,721.954956054687
4441.44233065344,4250.88232421875
4675.06728387762,4108.17431640625
4920.98117720405,4684.833984375
5179.83042295621,448.769287109375
5452.29543548611,1126.58142089844
5739.09241971993,5330.50048828125
6040.97525378322,876.840393066406
6358.73747065431,6063.14111328125
6693.214344055,740.208312988281
7045.28508406148,953.618041992187
7415.87514820686,906.036560058594
7805.9586741504,632.5244140625
8216.56104030787,574.933959960937
8648.76156117406,8363.0732421875
9103.69632442226,1006.03021240234
9582.56117723852,725.521179199219
10086.6148697404,490.352783203125
10617.1823637434,640.21044921875
11175.6583155717,412.134307861328
11763.5107420695,526.055786132812
12382.2848794484,353.400970458984
13033.6072451142,397.034210205078
13719.1899131513,380.254486083984
14440.8350147015,451.674652099609
15200.4394750686,274.982818603516
16000,490.269317626953

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
100,-0.122305170144347
105.260114526576,-0.0877736174975323
110.796917101478,-0.0656459508093003
116.624961832931,-0.080653806452726
122.759568391918,-0.0100733606553702
129.216862281663,-0.102587582330002
136.013817225326,-0.0203241166126849
143.168299783345,-0.0259294889081055
150.6991163177,-0.0818500694554078
158.626062426549,-0.0409105314871296
166.969974979182,-0.0680246201043372
175.752786888082,-0.0711680185272997
184.997584762044,-0.0625113925864987
194.728669591926,-0.0408255888288606
204.971620628538,-0.0406011015163815
215.753362620577,-0.075197279942116
227.102236589358,-0.0648884429893969
239.048074326372,-0.0745371538779755
251.622276809513,-0.0617161460337038
264.857896744071,-0.0551501621529562
278.789725445488,-0.105210953098041
293.454384292246,-0.0650998692487299
308.890420989276,-0.0324218902540701
325.138410894933,-0.0527704587512136
342.241063677895,-0.0488662106499627
360.243335584322,-0.0299620533763392
379.192547610414,-0.00919675520959352
399.138509890961,-0.0341510869067443
420.133652630893,-0.0282079417521078
442.233163923964,-0.0406367460737875
465.495134820863,-0.0613094276118813
489.980712028078,-0.0490491593589664
515.754258638885,-0.0611125371238034
542.883523318981,-0.0908814557651515
571.439818391469,-0.0507657247657189
601.498207289316,-0.0146694299336046
633.137701868033,-0.0442876751084478
666.44147009722,-0.0375528954493172
701.497054676928,-0.0647355804463259
738.396603153489,-0.104000773317803
777.237110139706,-0.0806614254409657
818.120672276101,-0.0679371295221483
861.154756603414,-0.118107849090484
906.452483051807,-0.11483650877927
954.132921789321,-0.145729969705401
1004.3214062112,-0.0906129556686527
1057.14986239282,-0.132996679484585
1112.75715587222,-0.142168904944463
1171.28945667377,-0.253245736782282
1232.90062353251,-0.4187711057147
1297.75260832919,-0.769199648022738
1366.01588179893,-1.21772269678424
1437.86988163276,-2.01572151449231
1513.50348414978,-3.05588875892015
1593.11550077977,-4.66113086254498
1676.91520066142,-6.70213905985883
1765.12286072976,-9.28367333890832
1857.97034473891,-12.3107997967301
1955.70171274199,-15.3312236500644
2058.57386263042,-18.0466373456566
2166.85720541893,-19.1587766565221
2280.83637605132,-19.0779602327596
2400.81098159542,-19.2512618279332
2527.09638879394,-19.6656632792114
2660.02455304146,-19.5673560178749
2799.94489096647,-19.5974341694276
2947.22519891231,-19.7253489038907
3102.25261973119,-19.659574038374
3265.43466043275,-19.3851662362076
3437.200263362,-19.6505021018628
3618.0009337226,-19.7314204084852
3808.31192640899,-19.8748271263297
4008.63349526734,-19.9532886785472
4219.49220806907,-19.6488590311023
4441.44233065344,-20.0674926529365
4675.06728387762,-20.2402034195543
4920.98117720405,-20.0141393972372
5179.83042295621,-19.6313546668637
5452.29543548611,-20.1108576310091
5739.09241971993,-21.0255927885853
6040.97525378322,-20.8968938490909
6358.73747065431,-21.3281912865064
6693.214344055,-21.780384622013
7045.28508406148,-21.5118184679165
7415.87514820686,-21.8443247673686
7805.9586741504,-22.0597108145556
8216.56104030787,-22.87541552981
8648.76156117406,-22.8958238424968
9103.69632442226,-22.8499085235769
9582.56117723852,-23.3153759096874
10086.6148697404,-23.3757819758661
10617.1823637434,-24.0074309511421
11175.6583155717,-25.0472885327168
11763.5107420695,-24.2747952863446
12382.2848794484,-25.4792213379293
13033.6072451142,-25.2845274998986
13719.1899131513,-26.1603971840222
14440.8350147015,-26.1479435516922
15200.4394750686,-26.535205707198
16000,-26.4107815981338

